marabahayaaamiin,marabahaya amin
bdoa,berdoa
klurga,keluarga
dititip,lain semoga
megathurst,megathrust
lagiharusnya,lagi harusnya
iknsemoga,ikn semoga
terjaditrus,terjadi terus
sajasemoga,saja semoga
inigak,ini tidak
kpdnya,kepadanya
bencanakita,bencana kita
mnjauhkn,menjauhkan
amiinini,amin
bumisemoga,bumi semoga
inikalimantan,ini kalimantan
loe,kamu
terjaditidak,terjadi tidak
idup,hidup
kaga,tidak
masyarakt,masyarakat
gemoa,gempa
skalipun,sekalipun
loo,kamu
thd,terhadap
ajakalau,aja kalau
diriislam,diri islam
hambahamba,hamba hamba
hambahambanya,hamba hamba
iknsemua,ikn semua
tiaptiap,tiap tiap
ngra,ngira
ampe,sampai
mmng,memang
tauhanya,tau hanya
seblm,sebelum
waktukalau,waktu kalau
indonesiabelum,indonesia belum
sdih,sedih
nakutnakutin,nakut nakutin
bgtu,begitu
tausemoga,tau semoga
amiiiin,amin
tw,tau
gmana,gimana
yaanda,ya anda
nyajika,nya jika
syaa,saya
waktubmkg,waktu bmkg
kluar,keluarga
gdung,gedung
gemparugi,gempa
bermusuhan,rugi
nakutn,nakutin
gempaikn,gempa ikn
sdg,sedang
sajakiamat,aja kiamat
anakanak,anak anak
lahhanya,lah hanya
tgg,tunggu
kerna,karena
bubisa,bu bisa
salfok,salah fokus
adlh,adalah
kmrin,kemarin
ntar,nanti
indonesiadan,indonesia dan
hmmmm,hm
ajaa,saja
panic,panik
ohhhh,oh
elo,kamu
jugaa,juga
gempaklo,gempa kalau
olloh,allah
klrga,keluarga
dlam,dalam
gempagak,gempa tidak
maks,maksimal
ituitu,itu itu
aamiinklo,amin kalau
gempaberdoa,gempa berdoa
bdan,badan
terjadiini,terjadi ini
aminamin,amin amin
terjadigempa,terjadi gempa
lawakx,lawak
muga,semoga
inidan,ini dan
terjadikalau,terjadi kalau
shg,sehingga
tuhanyg,tuhan yang
kanggo,berguna
seolaholah,seolah olah
sajagempa,saja gempa
rumahrumah,rumah rumah
indonedia,indonesia
indonesiatolong,indonesia tolong
alaminsemoga,alamin semoga
wayae,waktunya
iki,ini
pjbt,pejabat
terjadimegathrust,terjadi megathrust
spertinya,sepertinya
mahlukny,mahkluknya
aaamiin,amin
dkk,dan kawan kawan
sellau,selalu
sampean,kamu
bljr,belajar
alhmdllah,alhamdulilah
jaihkn,jaukan
tehnis,teknis
tsunamirasakan,tsunami rasakan
ituharus,itu harus
waspadabukan,waspada bukan
masyarakatkomen,masyarakat komen
terakhiriyah,terakhir
ditunggujika,ditunggu jika
terjadimakanya,terjadi makanya
sajaadmin,saja admin
gempaaku,gempa saya
kebih,lebih
megathrusudahmuak,megathrust sudah muak
iniseperti,ini seperti
anakmain,anak main
kawinkawinanmau,kawin kawin mau
lihatnyabmkg,lihatnya bmkg
perutdari,perut dari
benarasalamualaikum,benar asalamualaikum
terimakasihkalo,terima kasih kalau
koit,mati
tuhanbuat,tuhan buat
tungu,tunggu
donggempa,dong gempa
nentukandimana,dimana
sjayaa,saya
rakyad,rakyat
indinesia,indonesia
ssaja,saja
berda,berada
lindungn,lindungan
amiinkalau,amin kalau
senanggempa,senang gempa
sebap,sebab
orangygkayabanyakharta,orang yang kaya banyak harta
kamumatipunmeninggalkanrumah,kamu matipun meninggalkan rumah
ayodangkiamaaaaaaatkalau,ayo dong kiamat kalau
berwsspada,berwaspada
keaadan,keadaan
diwsktu,diwaktu
terjadimantapbanyak,terjadi mantap banyak
iniudah,ini udah
hakimhakim,hakim hakim
hahahahahagak,agak
ramerame,rame rame
kanmau,kan mau
nyakalok,nya kalau
nukler,nuklir
indonesiaamerikamemang,indonesia amerika memang
sajatunggu,saja tunggu
waktuu,waktu
sajapak,saja pak
lahperingatan,lah peringatan
sepelekan,sepelekan
merugiallah,merugi allah
semestabener,semesta bener
mashbsorang,masih habis orang
tungguinnalilahi,tunggu innalilahi
trustmakan,trust makan
inijadi,ini jadi
adaapa,ada apa
bualhamdullilah,alhamdulilah
achirnya,akhirnya
aminmegatrust,amin megathrust
waktusholat,waktu sholat
waktukiamat,waktu kiamat
waktusiaaaaapkan,waktu siapkan
masingx,masing masing
jlnkan,jalankan
benarramalan,benar ramalan
mayrkt,masyarakat
tepatbiarin,tepat biarin
gant,ganti
iniwaspadalah,ini waspadalah
adamalah,ada malah
dngar,dengar
ambonternatepapua,ambon ternate papua
acuhkn,acuhkan
bntuan,bantuan
pendapatni,pendapat 
luarngri,luar negeri
pmrnth,pemerintah
mmperhtkn,memperhatikan
kslmtn,keselamatan
rkyt,rakyat
trtm,terutama
prngtn,peringatan
dni,dini
gempayg,gempa yang
smtra,sumatra
rsny,rasanya
lma,lama
kli,kali
daerh,daerah
kedrhku,kedaerahku
knget,keingat
sklh,sekolah
smestermegatrust,semeter megathrust
mengatasix,mengatasinya
omongdonghebat,ngomong dong hebat
indonesiyg,indonesia yang
bencanaiki,bencana iki
panitia,panitia 
robsemoga,semoga
llugk,kamu tidak
karnavalsabar,karnaval sabar
eklas,ikhlas
ayunanapa,ayunan apa
genpa,gempa
noldari,nol dari
palembang,palemba ng
kencangsemua,kencang semua
gunakn,gunakan
gepa,gempa
aaminmenurut,amin menurut
tundabuat,tunda buat
himbawan,himbauan
melalu,melalui
dllsebelum,dulu sebelum
alrm,alarm
peringatandan,peringatan tanda
biyayasemua,biaya semua
allohjangan,allah jangan
allahko,allah
bukastaghfirulloh,buka astaghfirullah
dptperlindungan,dapat perlindungan
slloh,allah
amiinyrb,amin
alamiinkiamat,alamiin kiamat
bodoiyah,bodoh iya
waktuqta,waktu 
kahhampir,kah hampir
pantaisemua,pantai semua
kuasastunami,kuasa tsunami
adasoalnya,ada soalnya
kemanatuhan,kemana tuhan
mohonmasih,mohon masih
mendahuluitinggal,mendahului tinggal
berapamasih,berapa masih
sajaws,saja
ura,tidak
penteng,penting
iku,itu
mbi,sama
kuoso,kuasa
bne,biar
ayem,damai
tentremkbh,tentram semua
ngator,bicara
isine,isinya
agong,agung
taulupa,tau lupa
gazasemoga,gaza semoga
banyaksarolatttttlah,banyak solatlah
kenafa,kenapa
kuasajesus,kuasa yesus
ooh,oh
kamiberita,kami berita
selanjut,selanjutnya
libdungan,lindungan
tahuteori,tahu teori
wargadijalanin,warga dijalanin
bilamana,bilamana
ketakutansemoga,ketakutan semoga
keselamatanback,keselamatan 
gundulsaya,gundul saya
biasakalau,biasa kalau
beritalakukan,berita lakukan 
besarataupun,besar ataupun
besarbaru,besar baru
kayaknya,sepertinya
dehsama,deh sama
korupsiada,korupsi ada
tanahwaktunya,tanah waktunya
penasaranbmkg,penasaran bmkg
kocakbarusan,kocak barusan
digunungkiduledukasi,digunung kidul edukasi
iniagar,ini agar
siapharus,siap harus
bagaimanakui,bagaimana itu
allahpenting,allah penting
dulusunamine,dulu tsunami
mainyamelihat,mainya melihat
petasemua,peta semua
bumiatau,bumi atau
sunamihanya,tsunami hanya
bencanaada,bencana ada
kenderaan,kendaraan
